sensorType,deploymentType,eventName,collectionCondition,housingType,sensorBrand,statusId,timeStamp,site_no,latitude,longitude,siteDescription,networkNames,stateName,countyName,siteWaterbody,siteHDatum,sitePriorityName,siteZone,siteHCollectMethod,sitePermHousing,instrument_id,sensor_type_id,deployment_type_id,location_description,serial_number,housing_serial_number,interval,site_id,event_id,inst_collection_id,housing_type_id,sensor_brand_id,vented,last_updated,last_updated_by,instr_collection_conditions,sensor_brand,sensor_type,housing_type,deployment_type,instrument_status,data_files,files,event,site,Links
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 20:21,FLBRE03160,27.9215,-80.51941,Fisherman's Landing Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,22,1,1,"ON FIRST PILING OF PIER 1, CLOSEST TO THE PARKING LOT ON THE LEFT SIDE.",102382,,30,3160,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,23,1,1,same location as another,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:10,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,24,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK 1",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Wilma,Brackish Water,,,2,10/25/05 0:00,FLCOL03148,26.04606,-81.70845,Hendersen Creek at KOA Campground boat ramp.,Gulf of Mexico,FL,Collier County,Hendersen Creek,NAD83,,,Map (digital or paper),Yes,25,1,1,Strapped to landward-most wooden piling on upstream side of boat ramp. Angle iron at 1.8 ft above LS,911334,,30,3148,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,26,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,,2,5/21/13 23:48,FLBRE03151,28.355,-80.72217,Lee Wenner Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,27,1,1,,1028496,WSH-13832,30,3151,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,28,1,1,,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 22:10,FLBRE03153,28.3572,-80.62858,Constitution Bicentennial Boat Ramp,South Atlantic,FL,Brevard County,Banana River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,29,1,1,on dock,2238139,WSH 13840,30,3153,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 19:40,FLBRE03154,28.20669,-80.66137,Boat Ramp at POW/MIA Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,30,1,1,on dock @ boat ramp,2238154,WSH 13815,30,3154,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 18:02,FLBRE03157,28.07962,-80.59973,"Claude Edge Front St Park, on Front St. south of US 192 before the bridge if traveling East (heavy road construction, some roads closed)
Many wooden pilings at boat ramp",South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,32,1,1,On piling of dock.,1028500,WSH 13824,30,3157,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Sandy,Not Recorded,,Hobo,2,10/30/12 18:30,CTNEW07195,41.32525,-71.9846,"Town Dock Noank located in the village of Noank, near the west shore of the mouth of the Mystic River. Public pier at the end of Main Street. Bracket for sensor located to center piling in cluster of 3 pilings at the end of dock near the boat launch.","North Atlantic, SWaTH",CT,New London County,Fishers Island Sound,NAD83,,,Handheld GPS,No,2164,1,1,SSS-CT-NLD-016WL,Unknown,,10,7195,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/30/12 20:00,CTNEW00017,41.36333,-72.206389,East Lyme Weather Station Connecticut Department of Transportation,,CT,New London County,Latimer Brook,NAD83,,,Map (digital or paper),No,2165,1,3,SSS-CT-NLD-017BP,Unknown,,30,7706,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Not Recorded,,Unknown,2,10/30/12 20:00,CTNEW00018,41.32147,-72.1954,,,CT,New London County,Niantic Bay,NAD83,,,Map (digital or paper),Yes,2166,1,1,SSS-CT-NLD-018WL,Unknown,,30,7707,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Not Recorded,,Unknown,2,10/31/12 20:00,CTNEW00023,41.284278,-72.277583,,,CT,New London County,Long Island Sound,NAD83,,,Map (digital or paper),Yes,2167,1,1,SSS-CT-NLD-019WL,Unknown,,10,7124,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:18,CTNEW00021,41.37325,-71.952556,Mystic Aquarium,,CT,New London County,Mystic Aquarium,NAD83,,,Map (digital or paper),No,2168,1,3,SSS-CT-NLD-021BP,,,30,7140,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:07,CTNEW00022,41.3125,-72.3458,CT DEEP Marine HQ Old Lyme,,CT,New London County,Connecticut River,NAD83,,,Map (digital or paper),Yes,2169,1,1,SSS-CT-NLD-022WL,,,30,7127,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:04,CTNEW00023,41.284278,-72.277583,,,CT,New London County,Long Island Sound,NAD83,,,Map (digital or paper),Yes,2170,1,1,SSS-CT-NLD-023WL,,,30,7124,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:16,CTNEW00025,41.31675,-72.060917,UConn Avery Point,,CT,New London County,Fishers Island Sound,NAD83,,,Handheld GPS,No,2171,1,1,SSS-CT-NLD-025WL,,,30,7129,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:06,CTNEW00026,41.334972,-72.0355,"Poquonuck River Bluff Point, Groton",,CT,New London County,Poquonock River,NAD83,,,Map (digital or paper),Yes,2172,1,1,SSS-CT-NLD-026WL,,,30,7133,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:08,CTNEW00027,41.380806,-71.967917,"River Road, Mystic.",,CT,New London County,Mystic River,NAD83,,,Map (digital or paper),Yes,2173,1,1,SSS-CT-NLD-027WL,,,30,7142,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:06,CTNEW00029,41.346667,-71.967667,"Bracket sensor secured to piling facing south on the 10th piling from the west end of retaining wall next to parking lot, 2 pilings past a wooden ladder affixed to the retaining wall.","North Atlantic, SWaTH",CT,New London County,Mystic Harbor,NAD83,Priority 1 (network or time critical),,Handheld GPS,No,2174,1,1,SSS-CT-NLD-029WL,,,30,7135,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:05,CTNEW07134,41.344333,-71.909472,"Site used as SSS location for TS's Irene and Sandy. Approx. 0.75 mi east of intersection on Routes 1 & 1A on Route 1A. From I-95 Northbound, take exit 91 (Rte. 234), turn right off the exit and take the 3rd left  onto Flanders Road. Follow Flanders Road to the intersection with Route 1 and continue straight through the intersection. Flanders Road becomes Route 1A and follow 1A for ~0.75 miles to the causeway bridge.","SWaTH, North Atlantic",CT,New London County,Stonington Harbor,NAD83,Priority 1 (network or time critical),,Phone/Car GPS,No,2175,1,1,SSS-CT-NLD-030WL,,,30,7134,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Not Recorded,,,2,7/22/14 17:10,DEKEN00002,39.0585278,-75.397806,,,DE,Kent County,Murderkill River,NAD83,,,Map (digital or paper),Yes,2176,1,1,SSS-DE-KEN-002WL,,,30,7051,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Wave Height,Sandy,Not Recorded,,,2,7/22/14 17:06,DEKEN00002,39.0585278,-75.397806,,,DE,Kent County,Murderkill River,NAD83,,,Map (digital or paper),Yes,2177,1,2,SSS-DE-KEN-002WV,,,2,7051,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 13:10,DEKEN00002,39.0585278,-75.397806,,,DE,Kent County,Murderkill River,NAD83,,,Map (digital or paper),Yes,2178,1,3,SSS-DE-KEN-002BP,Unknown,,30,7051,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Brackish Water,,,2,7/22/14 17:13,DEKEN00051,39.325833,-75.474972,Duck Creek at Woodland Beach.  Old HIF style bracket.,"North Atlantic, SWaTH",DE,Kent County,Duck Creek River,NAD83,,0,Map (digital or paper),No,2179,1,1,SSS-DE-KEN-051WL,,,30,7708,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:20,DEKEN00051,39.325833,-75.474972,Duck Creek at Woodland Beach.  Old HIF style bracket.,"North Atlantic, SWaTH",DE,Kent County,Duck Creek River,NAD83,,0,Map (digital or paper),No,2180,1,3,SSS-DE-KEN-051BP,,,30,7708,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Brackish Water,,,2,7/22/14 17:07,DEKEN07709,39.160528,-75.446,"Little River at Little Creek, DE","North Atlantic, SWaTH",DE,Kent County,Little River,NAD83,Priority 1 (network or time critical),0,RT-GNSS,Yes,2181,1,1,SSS-DE-KEN-053WL,,,30,7709,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:20,DEKEN07709,39.160528,-75.446,"Little River at Little Creek, DE","North Atlantic, SWaTH",DE,Kent County,Little River,NAD83,Priority 1 (network or time critical),0,RT-GNSS,Yes,2182,1,3,SSS-DE-KEN-053BP,,,30,7709,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Brackish Water,,,2,7/22/14 17:12,DENEW00001,39.3092778,-75.609472,,,DE,New Castle County,Duck Creek,NAD83,,,Map (digital or paper),Yes,2183,1,1,SSS-DE-NEW-001WL,,,30,7054,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 11:50,DENEW00001,39.3092778,-75.609472,,,DE,New Castle County,Duck Creek,NAD83,,,Map (digital or paper),Yes,2184,1,3,SSS-DE-NEW-001BP,Unknown,,30,7054,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:07,DESUS00008,38.790222,-75.163639,,,DE,Sussex County,Broadkill River,NAD83,,,Map (digital or paper),Yes,2185,1,1,SSS-DE-SUS-008WL,,,30,7044,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,,,Unknown,1,10/28/14 16:40,DESUS00008,38.790222,-75.163639,,,DE,Sussex County,Broadkill River,NAD83,,,Map (digital or paper),Yes,2186,1,3,SSS-DE-SUS-008BP,Unknown,,30,7044,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:08,DESUS00010,38.694528,-75.084194,,,DE,Sussex County,Rehoboth Bay,NAD83,,,Map (digital or paper),Yes,2187,1,1,SSS-DE-SUS-010WL,,,30,7038,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 15:00,DESUS00010,38.694528,-75.084194,,,DE,Sussex County,Rehoboth Bay,NAD83,,,Map (digital or paper),Yes,2188,1,3,SSS-DE-SUS-010BP,Unknown,,30,7038,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:11,DESUS00014,38.513667,-75.062528,,,DE,Sussex County,Jefferson Creek,NAD83,,,Map (digital or paper),Yes,2189,1,1,SSS-DE-SUS-014WL,,,30,7022,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 18:30,DESUS00014,38.513667,-75.062528,,,DE,Sussex County,Jefferson Creek,NAD83,,,Map (digital or paper),Yes,2190,1,3,SSS-DE-SUS-014BP,Unknown,,30,7022,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:18,DESUS00015,38.454889,-75.058139,,,DE,Sussex County,Lighthouse Cove,NAD83,,,Map (digital or paper),Yes,2191,1,1,SSS-DE-SUS-015WL,,,30,7018,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 19:00,DESUS00015,38.454889,-75.058139,,,DE,Sussex County,Lighthouse Cove,NAD83,,,Map (digital or paper),Yes,2192,1,3,SSS-DE-SUS-015BP,Unknown,,30,7018,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Brackish Water,Ruston Steel Pipe,Hobo,2,7/22/14 17:19,DESUS00030,38.702694,-75.161833,Love Creek at Highway 24 Bridge,"North Atlantic, SWaTH",DE,Sussex County,Love Creek,NAD83,Priority 1 (network or time critical),,Map (digital or paper),No,2193,1,1,SSS-DE-SUS-030WL,9997453,,,7039,,,,,Yes,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 15:40,DESUS00030,38.702694,-75.161833,Love Creek at Highway 24 Bridge,"North Atlantic, SWaTH",DE,Sussex County,Love Creek,NAD83,Priority 1 (network or time critical),,Map (digital or paper),No,2194,1,3,SSS-DE-SUS-030BP,Unknown,,30,7039,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:09,DESUS00032,38.625334,-75.099906,Massey Landing,"North Atlantic, SWaTH",DE,Sussex County,Rehoboth Bay/Massey s Ditch,NAD83,Priority 1 (network or time critical),0,RT-GNSS,No,2195,1,1,SSS-DE-SUS-032WL,,,30,7032,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:08,DESUS00032,38.625334,-75.099906,Massey Landing,"North Atlantic, SWaTH",DE,Sussex County,Rehoboth Bay/Massey s Ditch,NAD83,Priority 1 (network or time critical),0,RT-GNSS,No,2196,1,3,SSS-DE-SUS-032BP,,,30,7032,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:08,DESUS00033,38.591639,-75.211972,,,DE,Sussex County,Indian River,NAD83,,,Map (digital or paper),Yes,2197,1,1,SSS-DE-SUS-033WL,,,30,7028,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 17:10,DESUS00033,38.591639,-75.211972,,,DE,Sussex County,Indian River,NAD83,,,Map (digital or paper),Yes,2198,1,3,SSS-DE-SUS-033BP,Unknown,,30,7028,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Not Recorded,,Unknown,2,10/31/12 13:40,DESUS00057,38.76871,-75.197,,,DE,Sussex County,Old Mill Creek,NAD83,,,Map (digital or paper),Yes,2199,1,1,SSS-DE-SUS-057WL,Unknown,,30,7710,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Not Recorded,,Unknown,2,10/31/12 13:40,DESUS00057,38.76871,-75.197,,,DE,Sussex County,Old Mill Creek,NAD83,,,Map (digital or paper),Yes,2200,1,3,SSS-DE-SUS-057BP,Unknown,,30,7710,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:14,MECUM00002,43.544722,-70.333889,,,ME,Cumberland County,Scarborough River,NAD83,,,Map (digital or paper),Yes,2201,1,1,SSS-ME-CUM-002WL,,,30,7178,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:16,MECUM00020,43.54466,-70.3339,,,ME,Cumberland County,Jones Creek,NAD83,,,Map (digital or paper),Yes,2202,1,3,SSS-ME-CUM-020BP,,,30,7177,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Not Recorded,,,3,7/22/14 17:21,MEYOR00001,43.446667,-70.356111,,,ME,York County,Biddeford Pool,NAD83,,,Map (digital or paper),Yes,2203,1,1,SSS-ME-YOR-001WL,,,30,7174,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:15,MEYOR00002,43.462222,-70.381944,,,ME,York County,Saco River,NAD83,,,Map (digital or paper),Yes,2204,1,1,SSS-ME-YOR-002WL,,,30,7175,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:22,MDANN00001,38.976833,-76.48505,Annapolis City Dock,"SWaTH, North Atlantic",MD,Anne Arundel County,Annapolis Harbor,NAD83,Priority 1 (network or time critical),0,Handheld GPS,No,2205,1,1,SSS-MD-ANN-001WL,,,30,7711,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Sandy,Air,,,2,7/22/14 17:16,MDANN00001,38.976833,-76.48505,Annapolis City Dock,"SWaTH, North Atlantic",MD,Anne Arundel County,Annapolis Harbor,NAD83,Priority 1 (network or time critical),0,Handheld GPS,No,2206,1,3,SSS-MD-ANN-001BP,,,30,7711,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:21,MDANN00003,38.968611,-76.4763,"End of Second St. Annapolis, MD","North Atlantic, SWaTH",MD,Anne Arundel County,Back Creek,NAD83,Priority 1 (network or time critical),0,Handheld GPS,No,2207,1,1,SSS-MD-ANN-003WL,,,30,7712,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Sandy,Saline Water,,,2,7/22/14 17:17,MDBAL00001,39.283694,-76.60608,"End of Pier 5 Baltimore, MD","SWaTH, North Atlantic",MD,Baltimore County,Patapsco River,NAD83,Priority 1 (network or time critical),0,Handheld GPS,No,2208,1,1,SSS-MD-BAL-001WL,,,30,7713,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
